,Feature,Importance
56,Verdict,0.416273626889686
0,Movie Id,0.040052994026328
39,BO Collection (Total),0.038061860223216955
44,Overseas Collection,0.0334133749396762
47,Trailer Views,0.03149388490053856
42,3rd Week,0.024170867197158108
48,Trailer Likes (K),0.02399220778232617
45,Budget,0.023505646210312627
43,4th Week,0.022901991991799573
40,1st Week,0.022551439327652894
41,2nd Week,0.021908777490015494
5,IMDb_Rating,0.019963225045237662
3,Lead_Actress,0.019354662978070127
2,Lead_Actor,0.019094499536917903
1,Director,0.018688926955171204
4,Runtime (.),0.017941151313247448
49,Follower Count (Lead Actor),0.01764881071881802
51,Follower Count (Director),0.0172861006923066
36,Music_Rating,0.017255992158769176
37,Music_Director,0.016761058144751224
53,Popularity of Actress Female (POAF),0.016262273344832736
52,Popularity of Actor Male (POAM),0.01591607031078836
50,Follower Count (Lead Actress),0.015167250947117787
46,No. of Screens,0.014761666103445968
54,Popularity of Director (POD),0.013157409494947108
55,CSS,0.012324508919466914
38,CBFC/MPAA,0.007699755098464927
13,Comedy,0.0035751441777732394
16,Drama,0.00347128051145903
8,Action,0.0033045731313015164
14,Crime,0.0027154182841144852
10,Adventure,0.002625987104136549
33,Thriller,0.0026231084400679203
28,Romance,0.0024779549714640486
7,Animated,0.0023106134271625367
12,Biography,0.002131884393719692
29,Sci-Fi,0.001833066979665078
25,Mystery,0.0017950482995919323
18,Fantasy,0.0017353577984204884
17,Family,0.0016768137544302217
6,Language,0.0016394705998682443
11,Animation,0.0014204647923048072
23,Music,0.0013262731035495433
22,Horror,0.0011915071578584386
21,History,0.0011070500609603544
31,Sport,0.0009647799547832003
34,War,0.0009190112601598752
15,Documentary,0.0007536515335810122
35,Western,0.0004769465290034371
24,Musical,0.0002762528476444055
30,Short,3.830814591630584e-05
20,Game-Show,0.0
19,Film-Noir,0.0
26,News,0.0
27,Reality-TV,0.0
9,Adult,0.0
32,Talk-Show,0.0
