Movie Name,Director,Lead_Actor,Lead_Actress,Runtime ( .),Release Date,IMDb_Rating,Language,Animated,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,Music_Rating,Music_Director,CBFC/MPAA,Popularity of Lead Actor (POAM),Popularity of Lead Actress (POAF),Popularity of Director (POD),CSS,Follower Count (Lead Actor),Follower Count (Lead Actress),BO Collection (Total),1st Week,2nd Week,3rd Week,4th Week,Overseas Collection,Budget,Trailer Views,Trailer Likes (K),No. of Screens,Verdict
Interstellar,Christopher Nolan,Matthew David McConaughey,Anne Jacqueline Hathaway,169,11-07-2014,8.7,English,Live Action,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,Hans Zimmer,UA,0.6,0.29,0.8,0.3,9M,31M,773.8,2.15,66.47,36.97,25.7,459.88,165,"3,63,14,005",202,20000,Blockbuster
The Dark Knight,Christopher Nolan,Christian Bale,Anne Hathaway,152,7/16/2008,9,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,Hans Zimmer,UA,0.32,0.39,0.8,0.4,422K,31M,100.6,23.8,11.25,6.44,3.92,99.99,18.5,180000000,185,4300,Hit
The Eken: Ruddhaswas Rajasthan,Joydeep Mukherjee,Anirban Chakrabarti,Naomi Harris,121,4/14/2023,6.7,Bengali,Live Action,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,Subhadeep Guha,U,0.5,0.23,0.5,0.24,15K,467K,3.5,1.1,0.25,0.25,0.21,0.24,5,"14,19,093",92,500,Superhit
Lagaan: Once Upon A Time In India,Ashutosh Gowariker,Aamir Khan,Gracy Singh,224,6/15/2001,8.1,Hindi,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.5,A. R. Rahman,UA,0.13,0.23,0.43,0.35,2M,146K,65.97,6.67,8.31,6.17,5.04,31.62,25,"1,04,60,532",86,3000,Blockbuster
Ram Setu,Abhishek Sharma,Akshay Kumar,Jacqueline Fernandez,143,10/25/2022,5.2,Hindi,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Atul Gogavale,UA,0.33,0.46,"0,25",0.35,67M,69M,92.94,66.3,7.4,6.9,4.84,7.5,150,"4,16,21,819",796,3100,Flop
Pathaan,Siddharth Anand,Shah Rukh Khan,Deepika Padukone,146,1/25/2023,5.9,Hindi,Live Action,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Vishal-Shekhar,UA,0.19,0.37,0.33,0,44M,77M,1050.3,364.15,94.75,46.95,14.33,392.55,225,"9,52,15,450",2400,6000,Blockbuster
Ra.One,Anubhav Sinha,Shah Rukh Khan,Kareena Kapore,156,10/26/2011,4.7,Hindi,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,Vishal-Shekhar,U,0.85,0.85,0.3,0.3,44M,11M,207,94.75,11.5,5.07,3.13,90.08,150,"22,84,960",11,5000,Flop
KGF 2,Prashanth Neel,Yash,Srinidhi Shetty,168,4/14/2022,8.3,Other Regional,Live Action,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,Ravi Basrur,UA,0.85,0.85,0.5,0.35,13.2M,5M,1250,609.7,185.5,115.25,54.35,207.15,100,"27,02,09,447",9800,10000,Blockbuster
The Kashmir Files,Vivek Agnihotri,Anupam Kher,Pallavi Joshi,170,03-11-2022,8.7,Hindi,Live Action,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.1,Rohit Sharma,A,0.29,0.37,0.25,0.35,6M,70K,340.92,97.3,108.97,30.95,9.95,88.67,20,"5,27,59,423",1700,4000,Blockbuster
Mission Mangal,Jagan Shakti,Akshay Kumar,Vidya Balan,127,8/15/2019,6.5,Hindi,Live Action,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Amit Trivedi,U,0.41,0.28,0.7,0.35,67M,9M,291.95,128.16,49.95,15.03,7.02,87.92,70,"5,25,18,821",1100,3000,Blockbuster
